id,account_id,card_number,card_type,brand,expires_at,status,issued_at
253,295,4413********6611-1928,debit,Visa,2029-05,active,2025-05-18T05:55:45
254,296,5889********6052-3217,debit,Mastercard,2030-02,expired,2025-02-04T03:38:52
255,297,4115********5251-5376,debit,Visa,2030-05,active,2026-05-11T21:46:20
256,298,5978********6465-4431,debit,Mastercard,2031-02,expired,2026-02-17T22:08:30
257,299,4848********2670-9016,debit,Visa,2029-01,blocked,2026-01-11T05:58:28
258,300,5808********8764-7034,debit,Mastercard,2030-03,blocked,2026-03-15T10:26:44
259,300,4746********8195-4922,debit,Visa,2029-05,active,2026-05-05T16:04:59
260,301,4998********9133-9526,debit,Visa,2031-04,active,2026-04-23T21:18:54
261,302,4947********4585-2784,debit,Visa,2031-02,active,2026-02-05T14:02:41
262,303,5341********4530-1292,credit,Mastercard,2030-12,active,2025-12-15T13:01:19
263,304,4487********5616-9210,debit,Visa,2031-05,active,2026-05-14T06:19:14
264,305,5121********2435-2953,debit,Mastercard,2031-05,active,2026-05-15T21:47:18
265,308,4878********6663-6738,debit,Visa,2029-02,active,2026-02-15T02:45:44
266,309,5104********9394-9675,debit,Mastercard,2029-01,active,2026-01-10T18:09:56
267,310,4924********8139-7815,debit,Visa,2029-01,blocked,2026-01-06T22:07:02
268,311,4081********0276-9420,debit,Visa,2031-04,expired,2026-04-16T23:38:03
269,312,4733********9406-1105,debit,Visa,2030-05,blocked,2026-05-08T17:09:28
270,313,4788********0218-3422,debit,Visa,2030-04,blocked,2025-04-13T13:34:00
271,314,4110********8227-7927,debit,Visa,2029-02,expired,2026-02-16T22:26:58
272,315,5177********0099-6560,credit,Mastercard,2031-04,active,2026-04-24T16:33:45
273,316,4089********2558-6271,debit,Visa,2028-03,active,2025-03-20T05:15:22
274,318,5970********0751-3534,debit,Mastercard,2030-04,blocked,2026-04-15T14:01:01
275,320,4085********9092-4183,debit,Visa,2028-05,expired,2025-05-04T21:58:01
276,322,5781********7147-308,debit,Mastercard,2029-03,active,2026-03-28T14:09:13
277,324,3016*******2633-2457,credit,Amex,2028-05,active,2025-05-30T19:50:52
278,325,4135********7611-9851,debit,Visa,2028-02,blocked,2025-02-17T08:09:15
279,326,4718********5002-2616,debit,Visa,2029-09,active,2024-09-18T11:17:52
280,327,5417********6087-398,debit,Mastercard,2029-03,active,2026-03-15T10:05:13
281,328,4211********8761-5765,debit,Visa,2030-05,blocked,2025-05-11T21:04:32
282,331,5837********7991-7257,debit,Mastercard,2028-03,blocked,2025-03-16T21:30:49
283,332,5013********9159-2452,debit,Mastercard,2029-04,blocked,2026-04-12T21:56:36
284,334,5234********3484-1133,debit,Mastercard,2028-12,blocked,2025-12-20T19:23:00
285,335,5979********0848-7537,debit,Mastercard,2029-05,active,2026-05-06T02:58:53
286,337,5987********0369-5863,debit,Mastercard,2029-05,active,2026-05-08T09:08:08
287,339,4109********3706-8193,debit,Visa,2030-11,active,2025-11-19T00:03:43
288,341,5080********5549-288,debit,Mastercard,2029-11,active,2025-11-14T04:06:36
289,342,4138********7099-7928,debit,Visa,2029-05,active,2026-05-02T12:00:15
290,345,5092********8934-5860,debit,Mastercard,2030-01,active,2026-01-07T09:40:34
291,347,4018********8942-1678,debit,Visa,2031-03,blocked,2026-03-02T02:25:26
292,348,4981********2256-3185,credit,Visa,2031-04,blocked,2026-04-07T17:34:18
293,349,5010********3651-7678,debit,Mastercard,2029-03,active,2026-03-24T05:43:48
294,350,4548********2418-4031,debit,Visa,2030-05,expired,2025-05-14T21:49:17
295,351,5509********5649-8586,debit,Mastercard,2027-02,expired,2024-02-08T20:38:09
296,352,5114********6337-5881,debit,Mastercard,2029-01,expired,2026-01-22T10:25:12
297,353,4982********5907-1422,debit,Visa,2031-04,active,2026-04-10T04:25:56
298,354,4622********2612-1097,debit,Visa,2029-06,active,2025-06-10T04:12:54
299,355,5728********5057-6404,credit,Mastercard,2029-10,active,2024-10-25T03:26:49
300,356,5154********0241-5011,debit,Mastercard,2030-02,active,2026-02-04T12:47:53
301,359,4362********4664-237,credit,Visa,2030-03,blocked,2026-03-29T20:51:32
302,360,4301********3130-1491,debit,Visa,2027-11,blocked,2023-11-28T10:27:35
303,361,5283********0470-1515,debit,Mastercard,2029-01,expired,2026-01-11T03:32:56
304,363,4238********5343-5289,debit,Visa,2030-04,blocked,2026-04-15T03:24:48
305,364,5189********2239-4128,debit,Mastercard,2029-03,active,2026-03-11T08:58:29
306,365,4983********0951-6947,debit,Visa,2031-03,active,2026-03-03T06:40:36
307,366,4299********0021-9532,debit,Visa,2031-05,active,2026-05-08T22:10:53
308,367,4988********9687-429,debit,Visa,2029-03,blocked,2025-03-21T15:21:28
309,368,4069********3096-8112,debit,Visa,2030-05,active,2026-05-07T15:04:31
310,369,4712********9532-7362,debit,Visa,2031-05,active,2026-05-14T06:19:07
311,370,4773********9338-9128,debit,Visa,2030-05,active,2026-05-16T14:31:39
312,371,4348********9869-1695,debit,Visa,2029-05,blocked,2026-05-10T14:35:00
313,373,4883********8317-1253,credit,Visa,2030-03,blocked,2026-03-29T14:31:40
314,374,4470********1410-7102,debit,Visa,2030-11,blocked,2025-11-19T01:36:15
315,374,4374********9681-969,debit,Visa,2030-12,active,2025-12-25T15:06:05
316,378,5710********7410-3995,debit,Mastercard,2030-12,active,2025-12-12T20:30:34
317,379,4353********2680-7766,credit,Visa,2030-05,active,2026-05-09T19:48:03
318,380,4951********8847-2576,debit,Visa,2028-04,blocked,2023-04-24T04:22:56
319,381,4565********9628-6035,debit,Visa,2029-11,blocked,2025-11-08T03:38:44
320,382,4755********3358-3090,debit,Visa,2030-01,blocked,2026-01-21T19:11:53
321,383,5494********9559-5388,credit,Mastercard,2030-05,active,2026-05-13T01:43:43
322,386,4788********1550-7266,debit,Visa,2028-07,blocked,2025-07-25T23:39:53
323,387,5499********4196-6323,debit,Mastercard,2030-04,active,2026-04-25T21:30:32
324,388,4286********9706-1020,credit,Visa,2028-10,expired,2025-10-29T01:28:40
325,389,5453********6528-1761,debit,Mastercard,2029-10,active,2025-10-24T12:31:57
326,390,4565********4057-6679,debit,Visa,2031-03,active,2026-03-11T02:07:45
327,390,4593********5638-1541,debit,Visa,2030-04,active,2026-04-20T08:46:55
328,391,5357********4019-4098,debit,Mastercard,2029-03,expired,2025-03-10T07:55:45
329,392,4638********9973-4023,debit,Visa,2028-02,active,2025-02-24T00:07:37
330,394,4533********3886-3124,credit,Visa,2030-08,active,2025-08-11T21:12:07
331,396,5338********4683-4395,debit,Mastercard,2029-04,blocked,2024-04-11T22:03:40
332,397,4899********7341-4958,debit,Visa,2028-12,blocked,2025-12-05T06:59:47
333,397,4556********5620-9064,debit,Visa,2029-11,blocked,2025-11-15T02:36:16
334,398,4901********7843-9068,debit,Visa,2031-04,active,2026-04-15T10:40:01
335,401,4935********8441-5944,debit,Visa,2029-06,blocked,2024-06-05T09:36:21
