id,customer_id,account_number,account_type,currency,balance,status,opened_at
72,34,FR4558075063282,checking,EUR,5561.48,active,2026-01-09T20:44:31
73,35,IT2554865638201,checking,EUR,6025.06,active,2024-07-03T05:00:46
74,36,DE6611843040961,checking,EUR,2444.09,active,2026-01-18T10:17:55
75,36,DE7728101439941,savings,EUR,38364.06,active,2025-11-13T20:31:13
76,36,DE9365843045072,checking,EUR,2024.49,active,2026-01-27T20:58:01
77,37,US8113011731515,checking,USD,4044.77,active,2026-03-16T09:31:23
78,38,FR6472200499578,savings,EUR,59.44,active,2026-02-10T01:47:01
79,38,FR8749955139725,savings,EUR,4338.64,frozen,2024-10-15T18:29:24
80,39,DE7483761473631,checking,EUR,1559.49,active,2025-02-06T10:39:47
81,40,JP8188040115793,checking,JPY,739522.61,frozen,2026-02-26T12:23:55
82,40,JP2970585219927,savings,JPY,764786.82,active,2025-12-06T05:50:03
83,41,US3773061532022,checking,USD,4238.5,closed,2026-05-11T16:33:08
84,41,US1070354429905,savings,USD,36730.87,closed,2026-02-07T23:50:07
85,42,KR8533428748452,checking,KRW,680951.9,active,2025-01-05T01:35:02
86,42,KR7756460486388,checking,KRW,605963.8,frozen,2025-12-26T18:08:45
87,43,NL2947423632495,savings,EUR,28806.65,frozen,2022-11-15T23:33:34
88,44,ZA3666035112500,checking,ZAR,7380.95,closed,2025-04-07T14:33:16
89,44,ZA6761708852959,savings,ZAR,31712.52,closed,2026-03-22T03:54:34
90,45,AE2490158754480,checking,AED,100.66,active,2024-08-31T14:27:59
91,45,AE3058467972247,savings,AED,15223.24,active,2025-09-22T04:57:34
92,46,US7254273281683,savings,USD,26833.08,closed,2025-09-25T01:32:06
93,46,US3412986476357,checking,USD,1815.24,active,2024-12-15T13:20:47
94,46,US7246728497264,checking,USD,5400.71,frozen,2023-06-18T11:28:59
95,47,ES8050332193456,savings,EUR,17968.52,frozen,2025-04-25T15:56:39
96,47,ES9515100182552,savings,EUR,18543.54,active,2024-06-27T05:02:59
97,47,ES6961057368317,checking,EUR,1341.69,frozen,2026-02-27T14:04:55
98,48,US9947045799590,checking,USD,5821.85,closed,2026-01-16T00:01:50
99,48,US1655613543780,savings,USD,32164.14,frozen,2026-03-01T04:40:12
100,49,IT8195708095338,checking,EUR,3716.75,active,2023-09-30T22:59:26
101,49,IT7830719496163,credit,EUR,-802.44,closed,2023-10-27T06:00:56
102,50,SE1463043763169,credit,SEK,-2339.72,frozen,2025-06-14T06:10:19
103,50,SE6477298367244,checking,SEK,4552.25,frozen,2024-05-06T08:17:25
104,50,SE1463558617877,savings,SEK,19760.51,active,2025-07-23T14:27:34
105,51,IN5179950773418,checking,INR,57430.99,active,2023-08-09T23:38:00
106,51,IN3274860221327,credit,INR,-348121.38,active,2024-11-05T23:49:33
107,52,GB4960143030213,checking,GBP,4625.67,active,2025-07-17T02:29:43
108,52,GB4750414710531,savings,GBP,37924.55,frozen,2025-07-07T15:24:24
109,53,AT8944440089650,checking,EUR,2335.84,closed,2025-05-30T08:51:18
110,54,FR6902696242465,savings,EUR,9089.58,active,2026-01-18T07:06:57
111,54,FR1039213464405,credit,EUR,-104.48,closed,2026-04-29T06:54:45
112,55,ZA7836080317762,checking,ZAR,1533.15,closed,2024-10-22T08:09:43
113,56,GB1578796344390,savings,GBP,37016.6,closed,2025-04-27T18:20:06
114,56,GB7007634911734,checking,GBP,58.55,active,2024-09-12T18:00:44
115,56,GB2266205596529,checking,GBP,2906,active,2023-12-05T20:29:28
116,56,GB7039068173858,savings,GBP,18767.89,active,2025-05-22T23:57:10
117,57,PL7265768222032,checking,PLN,2921.46,closed,2022-05-29T05:21:37
118,57,PL9231841794661,checking,PLN,2725.69,active,2025-10-14T18:53:49
119,58,DE2925511112885,savings,EUR,9639.87,closed,2024-06-06T07:49:19
120,59,BR8108790076179,checking,BRL,11386.06,active,2023-04-19T22:59:47
121,60,IT2533701842243,checking,EUR,5536.27,active,2026-05-12T08:09:22
122,61,JP6231704428789,checking,JPY,572375.59,active,2024-06-04T02:19:32
123,61,JP9360351711126,checking,JPY,452064.93,active,2022-12-07T13:00:59
124,61,JP5424699186491,savings,JPY,1330302.14,active,2021-08-23T02:12:52
125,62,PL7309489031210,checking,PLN,4682.2,active,2025-08-17T05:54:17
126,62,PL8404321636906,checking,PLN,2933.51,active,2026-04-13T19:15:10
127,63,PL8896399711890,checking,PLN,7473.89,active,2022-03-22T16:36:30
128,64,CN7684604127820,checking,CNY,7993.48,active,2026-03-15T07:26:28
129,65,IT3735600815367,checking,EUR,1053.15,frozen,2026-04-26T10:34:43
130,65,IT3486258630495,credit,EUR,-2943.3,active,2026-03-19T23:02:01
131,65,IT1319194684784,checking,EUR,3764.18,closed,2026-03-31T23:57:48
132,65,IT7641728075502,checking,EUR,2250.97,active,2026-05-15T00:48:17
133,66,IN8813417833759,checking,INR,133997.62,active,2026-02-16T19:53:59
134,66,IN7057119717212,checking,INR,25303.72,active,2025-03-01T07:26:33
135,66,IN9515846872457,checking,INR,495728.29,active,2025-11-01T17:04:30
136,67,FR5892688880800,savings,EUR,15969.75,active,2023-01-26T22:48:07
137,67,FR1648611546756,savings,EUR,17857.8,active,2026-04-23T11:23:55
138,68,SG5244538196981,savings,SGD,66.37,frozen,2025-09-20T21:31:41
139,68,SG9975285741029,checking,SGD,2867.58,active,2023-04-19T04:02:20
140,69,AT8077945011623,credit,EUR,-2043.11,active,2026-03-10T13:09:31
141,70,NL9381583835532,checking,EUR,3407.78,active,2026-01-31T20:09:27
142,71,AT8077336642728,checking,EUR,5384.27,active,2025-03-31T12:29:46
143,72,DE5817194810634,savings,EUR,81.48,active,2023-01-16T00:29:39
144,73,GB9858208633678,checking,GBP,2610.45,frozen,2026-02-26T16:49:58
145,73,GB2470445498639,checking,GBP,4357.37,active,2026-01-27T10:08:19
146,74,US5955163730635,savings,USD,2820.93,active,2026-01-01T08:12:05
147,74,US8473034517277,checking,USD,6120.26,active,2026-03-08T10:03:11
148,74,US6171929964502,credit,USD,-2131.08,active,2026-03-18T18:15:40
149,75,CH2476615642006,checking,CHF,435.71,active,2025-06-22T12:44:17
150,75,CH6846629965277,checking,CHF,2530.78,active,2026-05-14T23:49:19
151,76,GB2085043424108,credit,GBP,-1290.47,active,2024-11-24T18:03:46
152,76,GB6520556048415,checking,GBP,2692.49,closed,2024-10-21T03:23:02
153,77,IT4277408282010,checking,EUR,121.16,active,2025-02-20T02:42:00
154,78,GB3996027445787,savings,GBP,18532.99,active,2023-05-31T13:39:23
155,79,CA1806757354151,savings,CAD,10790.91,active,2026-02-15T22:20:24
156,79,CA7480632113351,checking,CAD,31.58,frozen,2026-05-02T08:09:55
157,79,CA2018150874561,checking,CAD,6057.94,active,2026-03-05T23:55:43
158,79,CA6482185315030,checking,CAD,5855.79,active,2026-04-12T15:26:47
159,80,CA1805171469431,checking,CAD,954.17,active,2026-05-06T12:07:01
160,81,US3945901917887,savings,USD,24613.79,frozen,2025-11-24T21:16:20
161,81,US5250204880703,checking,USD,3669.61,closed,2026-05-12T09:20:09
162,82,FR6806008195908,savings,EUR,38318.1,active,2026-03-08T13:37:54
163,82,FR7049043042786,checking,EUR,6908.9,frozen,2026-03-13T07:59:55
164,83,BR1443186083317,savings,BRL,137390.75,active,2025-03-12T14:37:45
165,83,BR3313869648289,checking,BRL,31588.31,active,2026-01-24T11:12:22
166,84,US2863989683154,checking,USD,7922.31,closed,2023-03-08T15:02:50
167,84,US5809459558255,checking,USD,7668.58,closed,2021-11-06T20:52:21
168,85,IE7102202277120,checking,EUR,7235.87,active,2026-03-27T01:55:25
169,85,IE4515157270469,savings,EUR,24982.05,active,2024-08-10T02:10:31
170,86,TR8591404445733,checking,TRY,176960.56,frozen,2024-11-08T13:32:15
171,87,AE4590223883685,checking,AED,2442,active,2026-03-26T06:53:10
172,87,AE9590337287072,savings,AED,37394.47,active,2025-07-05T03:43:24
173,87,AE7781030768288,checking,AED,4211.88,active,2025-08-07T09:56:34
174,88,UA4594529693685,checking,UAH,2489.72,active,2026-01-19T00:12:02
175,88,UA7660074583453,credit,UAH,-72023.72,active,2025-06-21T11:38:59
176,89,US9678027535238,checking,USD,7634.89,closed,2025-12-21T06:45:43
177,90,ES4602987971121,savings,EUR,21833.87,frozen,2025-10-11T05:29:23
178,90,ES3250249375059,savings,EUR,14801.47,active,2024-12-04T17:12:38
179,91,IE8758175775879,checking,EUR,6165.98,active,2025-08-04T22:35:26
180,91,IE9547318140232,credit,EUR,-3650.35,active,2024-12-19T19:30:43
181,92,UA4250874580600,savings,UAH,1532825.38,active,2025-05-16T08:42:56
182,92,UA7201050152125,checking,UAH,169544.86,active,2024-02-05T05:16:43
183,92,UA9740907838488,checking,UAH,138452.37,frozen,2024-09-22T06:25:34
184,93,CA1489730127750,checking,CAD,2504.17,active,2026-04-01T02:41:11
185,93,CA8945633677782,savings,CAD,24.71,active,2026-01-14T17:08:15
186,93,CA2667702674877,checking,CAD,6613.37,active,2026-04-15T15:27:36
187,93,CA1944029855221,checking,CAD,3730.1,active,2025-09-12T11:54:04
188,94,IN6953489671349,checking,INR,349194.79,active,2026-05-05T02:18:32
189,94,IN5004499424096,savings,INR,2324792.99,active,2026-05-13T22:03:15
190,95,IN3618776644618,checking,INR,635261.61,active,2024-06-19T21:57:42
191,95,IN7104409031566,credit,INR,-48549.26,active,2023-08-09T17:12:00
192,95,IN3695966238176,savings,INR,1680902.54,closed,2023-05-01T05:06:45
193,96,GB5801988422567,checking,GBP,2564.59,active,2026-01-17T17:35:18
194,96,GB4097290682654,checking,GBP,2605.18,frozen,2024-08-29T00:56:48
195,96,GB4634384823967,checking,GBP,5078.5,active,2024-06-14T10:09:48
196,97,CH7240103754968,checking,CHF,2315.84,active,2024-04-26T21:26:38
197,98,US1774216474665,checking,USD,595.6,active,2025-12-30T20:49:13
198,98,US2580564770465,savings,USD,17861.08,active,2024-09-20T21:14:56
199,99,IN8930235416820,checking,INR,347684.06,active,2022-01-14T01:06:51
200,99,IN5872366163867,checking,INR,493726.91,frozen,2022-09-20T06:35:31
201,100,GB4707164688531,savings,GBP,38200.49,active,2024-03-07T07:27:58
202,100,GB9273885928197,savings,GBP,37611.43,active,2024-01-24T00:27:25
203,101,FR6127930436570,credit,EUR,-3611.22,active,2026-04-23T23:51:08
204,101,FR8050568760206,checking,EUR,1045.24,active,2025-11-10T14:18:53
205,101,FR9432490129845,savings,EUR,38784.77,active,2025-12-21T08:45:23
206,102,JP6850879545417,savings,JPY,4121304.46,active,2024-11-14T18:29:46
207,102,JP7950411162832,checking,JPY,411967.18,closed,2026-03-14T15:13:29
208,102,JP1464310137345,checking,JPY,164612.41,active,2026-01-29T05:05:17
209,103,US4451648228633,savings,USD,20512.54,active,2026-02-09T05:22:15
210,103,US3986426033560,checking,USD,404.93,active,2025-09-09T10:59:35
211,103,US5234079913504,checking,USD,7415.05,active,2026-03-20T21:51:24
212,104,AU6886871461424,savings,AUD,26856.82,active,2024-08-07T20:10:46
213,105,ES5378887025864,savings,EUR,33775.33,active,2023-03-26T16:42:22
214,105,ES3049280169440,checking,EUR,5141.88,active,2025-02-20T00:51:44
215,106,PL4461086879518,checking,PLN,4546.3,active,2026-04-06T02:43:14
216,106,PL4321543482628,checking,PLN,5726.96,active,2025-10-23T15:59:55
217,107,SE4507226662761,checking,SEK,1114.73,active,2026-01-31T22:18:38
218,108,SE6196594593630,savings,SEK,83.66,active,2022-06-15T06:14:37
219,108,SE8690038817664,checking,SEK,7957.9,active,2025-11-02T02:29:00
220,108,SE3465182387571,checking,SEK,5501.34,active,2022-09-09T00:21:42
221,109,US3636715676870,checking,USD,3338.88,active,2026-01-03T08:09:57
222,110,TR9035343538653,savings,TRY,1309401.28,active,2023-02-02T08:15:14
223,111,ZA5447959439847,checking,ZAR,5950.37,active,2025-03-02T03:39:39
224,111,ZA4949096646232,savings,ZAR,48.72,active,2025-11-17T05:25:43
225,112,US2111617278116,checking,USD,7753.86,closed,2026-05-05T17:49:00
226,112,US2923479390386,savings,USD,28603.19,active,2026-04-21T11:01:10
227,112,US6447502210898,savings,USD,31554.88,closed,2026-05-15T02:57:55
228,112,US3838906555457,savings,USD,55.47,active,2026-04-19T10:54:34
229,113,IN6730739129083,checking,INR,462140.23,active,2025-11-16T15:21:43
230,113,IN8372072149720,checking,INR,68990.58,frozen,2025-03-05T14:15:41
231,114,IT3462761116550,credit,EUR,-575.87,active,2023-03-28T02:19:24
232,114,IT5588447465416,savings,EUR,36757.97,active,2023-10-18T02:33:54
233,114,IT2491857839606,checking,EUR,5805.82,active,2025-09-16T07:01:34
234,115,CA1037315060172,savings,CAD,25239.25,closed,2025-03-07T22:18:27
235,115,CA6243153832603,checking,CAD,5837.48,closed,2024-11-30T23:10:42
236,116,JP5786372520027,checking,JPY,978522.98,active,2026-03-14T12:39:27
237,117,AE6318479585875,checking,AED,6312.85,active,2025-06-13T14:26:09
238,118,FR7640555259830,savings,EUR,30680.35,active,2025-03-07T18:14:50
239,119,MX2585875443727,checking,MXN,98032.17,active,2025-03-01T13:58:09
240,119,MX7790805942578,credit,MXN,-15922.4,active,2025-05-01T19:42:13
241,119,MX9498427953631,checking,MXN,104247.73,active,2025-07-02T04:33:43
242,120,US3356486638790,checking,USD,3743.07,closed,2025-09-29T10:47:38
243,121,DE9626586162114,checking,EUR,6998.81,frozen,2025-12-06T23:31:55
244,121,DE2966727383593,credit,EUR,-1238.82,active,2025-11-14T13:31:05
245,121,DE5945139244064,savings,EUR,17716.65,active,2026-04-24T00:26:36
246,122,AE2697526240841,checking,AED,3788.98,active,2025-03-22T08:07:41
247,123,CA3965878990942,savings,CAD,5302.37,active,2026-05-06T17:15:05
248,124,DE8635046367423,checking,EUR,1805.15,closed,2024-06-24T17:52:03
249,125,US6443952279489,checking,USD,7611.06,active,2023-03-01T22:25:18
250,126,US6150916721318,credit,USD,-861.98,active,2026-03-30T02:24:23
251,127,SE5417550958379,savings,SEK,36463.06,closed,2025-05-12T07:56:24
252,128,FI7572417470011,savings,EUR,8353.29,active,2022-02-20T04:07:05
253,129,MX6726184232869,checking,MXN,112958.02,active,2023-10-06T16:03:09
254,130,BR1349608836185,savings,BRL,41274.02,active,2024-11-08T09:09:30
255,130,BR9990356148697,checking,BRL,31785.51,active,2024-03-12T14:24:51
256,130,BR4339423736325,checking,BRL,27402.96,closed,2025-08-31T03:30:59
257,131,IN5242436357994,savings,INR,2894579.27,active,2026-04-07T13:03:28
258,131,IN3265052952412,checking,INR,4442.63,frozen,2024-02-16T09:15:58
259,132,BR1526665776380,savings,BRL,163936.92,active,2025-07-08T16:06:57
260,132,BR1501589644486,credit,BRL,-21968.42,active,2025-07-24T09:22:10
261,133,AU9966828622242,checking,AUD,5189.27,active,2024-05-03T08:16:08
262,134,GB3682865840286,checking,GBP,5476.15,active,2025-05-06T04:25:15
263,134,GB3346977324414,checking,GBP,7518.04,closed,2026-03-15T03:20:24
264,135,SG4740184963530,checking,SGD,277.75,closed,2026-04-12T03:55:51
265,135,SG2464520321283,checking,SGD,4157.85,closed,2024-08-25T21:13:18
266,135,SG2969769828028,savings,SGD,39146.73,active,2025-03-08T15:29:29
267,135,SG3824033313707,checking,SGD,5495.52,active,2024-09-10T12:50:10
268,136,BR8226160146202,credit,BRL,-4464.91,closed,2025-12-08T22:31:22
269,136,BR7973151282994,checking,BRL,23075.43,active,2026-03-28T14:51:57
270,137,UA6713390040245,savings,UAH,550418.63,closed,2026-04-08T01:34:48
271,138,IE5783825645270,checking,EUR,6153.62,active,2025-09-14T17:29:06
272,138,IE8635983588756,checking,EUR,5384.62,active,2025-10-23T10:43:57
273,139,NL2084563296297,checking,EUR,518.05,active,2025-12-20T17:15:28
274,140,CA2738880277111,savings,CAD,24829.81,closed,2023-06-24T13:02:52
275,140,CA7852964636074,savings,CAD,17004.96,active,2022-09-21T19:31:28
276,141,FR4396041920977,credit,EUR,-1009.05,active,2024-10-11T17:30:33
277,142,SG9233897816315,checking,SGD,1466.17,closed,2026-04-25T22:59:59
278,143,DE1703891295122,checking,EUR,1478.55,active,2026-03-06T09:06:38
279,144,FR4975719832386,credit,EUR,-4374.67,active,2026-03-03T01:55:26
280,145,NL7227923687222,checking,EUR,6220,active,2026-03-16T00:50:56
281,145,NL3819753078077,savings,EUR,29867.64,active,2023-11-08T16:53:17
282,146,US8646507339458,savings,USD,7317.66,active,2025-09-03T09:26:11
283,147,CA3683892971285,savings,CAD,13074.68,frozen,2026-05-01T02:31:47
284,147,CA3145657047943,checking,CAD,4180.84,active,2026-04-11T01:44:53
285,148,DE8630651136962,checking,EUR,731.45,frozen,2025-02-20T13:40:52
286,148,DE6740965236655,savings,EUR,36079.74,active,2023-11-16T18:28:52
287,149,SG4268899780398,checking,SGD,6256.06,closed,2025-09-23T14:19:36
288,150,US3547045479133,savings,USD,15316.99,frozen,2025-04-18T11:34:23
289,150,US4824403239801,checking,USD,7907.5,active,2024-04-26T03:17:47
290,151,ES5694173789135,savings,EUR,21946.41,active,2026-04-09T08:43:27
291,151,ES4018919648570,credit,EUR,-2537.14,frozen,2025-12-05T08:05:14
292,152,US5307437533699,checking,USD,6055.26,frozen,2024-10-17T23:58:49
293,153,MX1056099732220,checking,MXN,27773.9,active,2025-12-22T14:31:48
294,153,MX7550078487700,savings,MXN,78587.12,closed,2024-11-15T22:13:40
295,153,MX8086111313554,checking,MXN,7749.68,active,2022-10-23T18:12:37
296,154,DE1968972672039,checking,EUR,7598.93,active,2024-10-30T22:03:04
297,155,US9405832554881,checking,USD,3638.84,active,2026-05-09T14:03:30
298,155,US1510353048041,savings,USD,34355.99,active,2025-11-19T03:23:58
299,155,US6399128828826,checking,USD,1125.92,active,2025-12-18T23:19:06
300,155,US7881516165932,checking,USD,2665.16,active,2026-02-12T07:12:41
301,156,SE5739602551003,checking,SEK,1232.55,active,2026-01-10T04:56:43
302,156,SE8752833532893,checking,SEK,2883.53,active,2025-11-12T19:36:45
303,156,SE3050400222614,credit,SEK,-2983.1,active,2025-11-01T09:12:30
304,157,FR4557136323185,checking,EUR,3989.92,active,2026-05-07T20:09:05
305,157,FR2410184952133,checking,EUR,1846.4,frozen,2026-05-13T14:21:45
306,158,US4783618695852,savings,USD,39361.44,frozen,2025-05-17T10:57:07
307,158,US3098901418981,savings,USD,4851.19,active,2026-03-06T09:07:29
308,159,IT4292087180012,checking,EUR,5246.44,active,2025-12-01T05:20:42
309,159,IT7622210796254,savings,EUR,30657.37,active,2025-02-15T01:09:20
310,160,GB1608635228079,checking,GBP,1220.3,closed,2025-12-30T22:07:05
311,160,GB1510340798653,checking,GBP,4219.16,active,2026-01-16T13:29:03
312,160,GB9508449524740,checking,GBP,7766.4,closed,2026-04-19T05:09:48
313,161,IN7565740534462,checking,INR,456091.65,active,2024-10-03T09:08:53
314,161,IN4435275658168,checking,INR,36383.28,active,2024-12-21T20:56:31
315,162,JP6892635933696,credit,JPY,-103447.32,active,2026-04-14T23:18:09
316,162,JP5800549539945,checking,JPY,69148.82,active,2024-03-17T12:13:21
317,163,TR5673547072833,savings,TRY,119812.43,active,2025-10-19T12:14:35
318,164,US6150273822222,checking,USD,3010.87,active,2026-04-07T22:17:00
319,164,US3026873722762,savings,USD,37398.38,frozen,2026-04-28T08:34:53
320,165,JP7415438483133,checking,JPY,881628.22,frozen,2024-02-17T07:51:02
321,165,JP4744785476587,savings,JPY,1879682.35,active,2024-12-13T21:03:44
322,166,DE9377528977586,checking,EUR,6627.83,active,2026-01-29T01:52:00
323,167,FR6083628653744,savings,EUR,17284.49,active,2025-09-30T16:48:49
324,167,FR8254037960195,credit,EUR,-3502.16,active,2025-01-30T11:33:46
325,168,BE3671257980114,checking,EUR,2890.27,active,2024-12-15T08:51:16
326,168,BE3220904838754,checking,EUR,5501.96,active,2024-08-06T23:10:13
327,168,BE9738388858879,checking,EUR,7418.1,active,2024-12-19T11:18:20
328,169,BE6204804110311,checking,EUR,7781.01,closed,2024-04-03T03:44:12
329,169,BE4338979730873,savings,EUR,99.42,frozen,2023-03-23T07:07:47
330,169,BE3582606844711,savings,EUR,17.14,frozen,2026-04-22T06:13:03
331,170,NL8696523837376,checking,EUR,5352.72,active,2024-10-19T21:20:38
332,171,AU4080051988597,checking,AUD,1934.11,closed,2022-02-17T02:28:56
333,172,DE5446475231663,savings,EUR,61.47,active,2023-02-13T23:33:47
334,172,DE4717720454355,checking,EUR,390.44,closed,2025-02-04T02:05:58
335,173,US9488026265280,checking,USD,3623.3,active,2024-10-11T14:07:33
336,174,JP4385678025276,savings,JPY,194140.78,active,2025-12-05T11:20:37
337,174,JP4979960068171,savings,JPY,3993.83,frozen,2026-04-03T07:15:10
338,175,SE4854040518880,savings,SEK,40608.35,closed,2024-12-02T00:20:23
339,176,BR4844712647612,checking,BRL,23662.89,active,2025-09-20T18:12:16
340,177,US7286278921301,savings,USD,19908.84,closed,2025-12-04T03:52:54
341,177,US3847172274465,checking,USD,2843.54,active,2025-10-21T23:12:23
342,177,US2885630088527,checking,USD,6287.7,active,2026-02-28T01:04:00
343,178,GB6390476773308,savings,GBP,19.33,active,2025-10-31T18:16:33
344,178,GB1978882276763,savings,GBP,36133.87,active,2025-03-06T00:00:29
345,179,IN8877199759856,checking,INR,445755.7,active,2025-11-09T03:00:21
346,179,IN8568349064733,savings,INR,165926.16,active,2025-11-02T09:49:49
347,180,AU1203786088346,savings,AUD,2259.19,frozen,2025-05-14T13:41:18
348,180,AU6058189471844,credit,AUD,-4342.13,frozen,2025-11-13T03:32:41
349,180,AU1743493192139,savings,AUD,20.12,active,2025-06-15T01:36:07
350,180,AU6385834880449,checking,AUD,5996.4,active,2025-05-11T01:36:41
351,181,US6242521039645,checking,USD,1250.32,active,2023-09-15T14:18:17
352,181,US8306438726411,checking,USD,5279.16,frozen,2025-03-29T19:17:06
353,182,TR5759997442412,savings,TRY,593484.78,active,2026-03-28T04:34:05
354,183,IN7502432068357,checking,INR,96610.52,active,2023-10-08T19:38:31
355,183,IN2757400127006,credit,INR,-221780.26,active,2024-01-03T23:12:32
356,184,NL6005155837213,savings,EUR,20254.1,active,2025-07-31T23:08:17
357,184,NL8197984465984,savings,EUR,14362.89,active,2026-02-11T03:56:29
